tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,tablescraper-selected-row 5,k-alt,k-alt 2,k-alt 3,k-alt 4,k-alt 5
,,,,,"VEHICLE, STOLEN",230309295,HARVARD   &  MARTIN LUTHER KING JR,Los Angeles Police,04-12-2023 23:00
HOMICIDE - CRIMINAL / MURDER,232008108,700 BLOCK S BERENDO ST,Los Angeles Police,04-12-2023 22:15,,,,,
,,,,,"VEHICLE, STOLEN",230309273,2000 BLOCK W 41ST DR,Los Angeles Police,04-12-2023 22:00
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,231107803,1600 BLOCK W SUNSET BL,Los Angeles Police,04-12-2023 21:48,,,,,
,,,,,"VEHICLE, STOLEN",230309286,5100 BLOCK  7TH AV,Los Angeles Police,04-12-2023 21:30
"VEHICLE, STOLEN",230309263,3800 BLOCK S FIGUEROA ST,Los Angeles Police,04-12-2023 21:30,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,231309092,2500 BLOCK E 25TH ST,Los Angeles Police,04-12-2023 21:05
ROBBERY (taking property of another by means of force or fear),231309091,2500 BLOCK E 25TH ST,Los Angeles Police,04-12-2023 21:05,,,,,
,,,,,"VEHICLE, STOLEN",230208959,BEVERLY BL  &  ROSEMONT,Los Angeles Police,04-12-2023 21:00
"VEHICLE, STOLEN",232008158,JAMES M WOOD   &  HOOVER,Los Angeles Police,04-12-2023 21:00,,,,,
,,,,,"VEHICLE, STOLEN",230708375,1900 BLOCK  CRENSHAW BL,Los Angeles Police,04-12-2023 21:00
"VEHICLE, STOLEN",230407346,2900 BLOCK  NEW JERSEY ST,Los Angeles Police,04-12-2023 20:30,,,,,
,,,,,"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",231309110,4000 BLOCK S MAIN ST,Los Angeles Police,04-12-2023 20:30
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230309265,27TH ST  &  7TH AV,Los Angeles Police,04-12-2023 20:30,,,,,
,,,,,SHOPLIFTING - PETTY THEFT ($950 & under),230208933,600 BLOCK N DILLON ST,Los Angeles Police,04-12-2023 20:00
THEFT FROM VEHICLE - GRAND ($950.01 & over),230309312,3000 BLOCK  11TH AV,Los Angeles Police,04-12-2023 20:00,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),231309105,300 BLOCK E 51ST ST,Los Angeles Police,04-12-2023 19:50
ROBBERY (taking property of another by means of force or fear),230110479,FIGUEROA   &  PICO,Los Angeles Police,04-12-2023 19:30,,,,,
,,,,,SHOPLIFTING - PETTY THEFT ($950 & under),230208938,600 BLOCK N DILLON ST,Los Angeles Police,04-12-2023 19:30
THEFT FROM VEHICLE - PETTY ($950 & under),230708366,4000 BLOCK W WASHINGTON BL,Los Angeles Police,04-12-2023 19:00,,,,,
,,,,,"VEHICLE, STOLEN",231309098,500 BLOCK E 23RD ST,Los Angeles Police,04-12-2023 19:00
"VEHICLE, STOLEN",230110503,1200 BLOCK S GRAND AV,Los Angeles Police,04-12-2023 19:00,,,,,
,,,,,THEFT FROM VEHICLE - PETTY ($950 & under),230110548,12TH ST  &  GRAND AV,Los Angeles Police,04-12-2023 19:00
THEFT FROM VEHICLE - PETTY ($950 & under),230110521,1600 BLOCK S MAIN ST,Los Angeles Police,04-12-2023 19:00,,,,,
,,,,,"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230407333,2100 BLOCK N BROADWAY,Los Angeles Police,04-12-2023 18:30
SHOPLIFTING - PETTY THEFT ($950 & under),230110495,700 BLOCK S FIGUEROA ST,Los Angeles Police,04-12-2023 18:30,,,,,
,,,,,"VEHICLE, STOLEN",230708378,1600 BLOCK  6TH AV,Los Angeles Police,04-12-2023 18:00
THEFT FROM VEHICLE - PETTY ($950 & under),231210086,1600 BLOCK W 45TH ST,Los Angeles Police,04-12-2023 18:00,,,,,
,,,,,SHOPLIFTING - PETTY THEFT ($950 & under),230208940,1600 BLOCK  WILSHIRE BL,Los Angeles Police,04-12-2023 17:56
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230309271,5000 BLOCK  RODEO RD,Los Angeles Police,04-12-2023 17:30,,,,,
,,,,,SHOPLIFTING - GRAND THEFT ($950.01 & over),230407344,2700 BLOCK E OLYMPIC BL,Los Angeles Police,04-12-2023 17:30
SHOPLIFTING - PETTY THEFT ($950 & under),230708405,900 BLOCK  CRENSHAW BL,Los Angeles Police,04-12-2023 17:03,,,,,
,,,,,SHOPLIFTING - PETTY THEFT ($950 & under),230708376,400 BLOCK S LA BREA AV,Los Angeles Police,04-12-2023 16:54
SHOPLIFTING - PETTY THEFT ($950 & under),230708377,400 BLOCK S LA BREA AV,Los Angeles Police,04-12-2023 16:35,,,,,
,,,,,"VEHICLE, STOLEN",232008118,SAN MARINO ST  &  KENMORE AV,Los Angeles Police,04-12-2023 16:30
"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",231309078,4000 BLOCK S MAIN ST,Los Angeles Police,04-12-2023 16:08,,,,,
,,,,,THEFT FROM VEHICLE - PETTY ($950 & under),230407349,1100 BLOCK  EUCLID AV,Los Angeles Police,04-12-2023 16:00
"VEHICLE, STOLEN",230309261,2600 BLOCK S VERMONT AV,Los Angeles Police,04-12-2023 16:00,,,,,
,,,,,ROBBERY - ATTEMPTED,232008114,VERMONT   &  3RD,Los Angeles Police,04-12-2023 16:00
"VEHICLE, STOLEN",232008148,400 BLOCK N IRVING BL,Los Angeles Police,04-12-2023 16:00,,,,,
,,,,,"VEHICLE, STOLEN",230208963,1200 BLOCK W SUNSET BL,Los Angeles Police,04-12-2023 15:00
SHOPLIFTING - PETTY THEFT ($950 & under),230110489,700 BLOCK S FIGUEROA ST,Los Angeles Police,04-12-2023 15:00,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),231309057,CENTRAL AV  &  OLYMPIC BL,Los Angeles Police,04-12-2023 14:45
"VEHICLE, STOLEN",231309056,1100 BLOCK E 33RD ST,Los Angeles Police,04-12-2023 14:30,,,,,
,,,,,SHOPLIFTING - PETTY THEFT ($950 & under),230708413,900 BLOCK  CRENSHAW BL,Los Angeles Police,04-12-2023 13:09
"VEHICLE, STOLEN",230208961,LONDON   &  CORONADO,Los Angeles Police,04-12-2023 13:00,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230110478,800 BLOCK S FIGUEROA ST,Los Angeles Police,04-12-2023 12:35
"VEHICLE, STOLEN",230208898,1600 BLOCK W OLYMPIC BL,Los Angeles Police,04-12-2023 12:24,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230110464,500 BLOCK W WASHINGTON BL,Los Angeles Police,04-12-2023 12:15
"VEHICLE, STOLEN",231309058,1600 BLOCK E 27TH ST,Los Angeles Police,04-12-2023 12:10,,,,,
,,,,,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.",923-00533-5120,"400 BLK BAUCHET ST, LOS ANGELES, CA 90012",Los Angeles Sheriff (unincorp.),04-12-2023 12:07
BURGLARY FROM VEHICLE,230110513,300 BLOCK S MAIN ST,Los Angeles Police,04-12-2023 12:00,,,,,
,,,,,"VEHICLE, STOLEN",231107835,SCOTT   &  LOGAN,Los Angeles Police,04-12-2023 12:00
ROBBERY - ATTEMPTED,231309077,4400 BLOCK  AVALON BL,Los Angeles Police,04-12-2023 12:00,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230208892,3RD ST  &  COLUMBIA,Los Angeles Police,04-12-2023 11:55
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110475,600 BLOCK S FIGUEROA ST,Los Angeles Police,04-12-2023 11:20,,,,,
,,,,,"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",230309250,4000 BLOCK S FIGUEROA ST,Los Angeles Police,04-12-2023 10:15
SHOPLIFTING - PETTY THEFT ($950 & under),230110518,1000 BLOCK S BROADWAY,Los Angeles Police,04-12-2023 09:45,,,,,
,,,,,"VEHICLE, STOLEN",231309085,2700 BLOCK S GRAND AV,Los Angeles Police,04-12-2023 08:30
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230110482,200 BLOCK W 6TH ST,Los Angeles Police,04-12-2023 08:30,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,232008135,200 BLOCK S WESTERN AV,Los Angeles Police,04-12-2023 06:30
"VEHICLE, STOLEN",231309050,CENTRAL AV  &  23RD ST,Los Angeles Police,04-12-2023 06:00,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),232008088,100 BLOCK S SERRANO AV,Los Angeles Police,04-12-2023 05:45
"VEHICLE, STOLEN",230110466,500 BLOCK W PICO BL,Los Angeles Police,04-12-2023 05:15,,,,,
,,,,,ROBBERY - ATTEMPTED,231107780,SANTA MONICA   &  VERMONT,Los Angeles Police,04-12-2023 05:00
ROBBERY (taking property of another by means of force or fear),230400843,ALBION ST  &  AVENUE 20,Los Angeles Police,04-12-2023 05:00,,,,,
,,,,,BURGLARY FROM VEHICLE,231309043,2000 BLOCK E OLYMPIC BL,Los Angeles Police,04-12-2023 04:45
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,231309079,200 BLOCK W 47TH ST,Los Angeles Police,04-12-2023 04:30,,,,,
,,,,,"VEHICLE, STOLEN",231309038,1300 BLOCK  CHANNING ST,Los Angeles Police,04-12-2023 03:50
ROBBERY (taking property of another by means of force or fear),231309047,1300 BLOCK  CHANNING ST,Los Angeles Police,04-12-2023 03:50,,,,,
,,,,,BURGLARY - ATTEMPTED,231309052,1300 BLOCK  CHANNING ST,Los Angeles Police,04-12-2023 03:50
THEFT FROM VEHICLE - GRAND ($950.01 & over),230208917,1400 BLOCK  VALENCIA ST,Los Angeles Police,04-12-2023 03:26,,,,,
,,,,,THEFT FROM VEHICLE - PETTY ($950 & under),231210087,5200 BLOCK S WESTERN AV,Los Angeles Police,04-12-2023 03:00
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230200645,4000 BLOCK  BEVERLY BL,Los Angeles Police,04-12-2023 03:00,,,,,
,,,,,BURGLARY - ATTEMPTED,232008136,4300 BLOCK  BEVERLY BL,Los Angeles Police,04-12-2023 02:50
SPOUSAL (cohab) ABUSE - AGGRAVATED ASSAULT,230400842,400 BLOCK S EVERGREEN AV,Los Angeles Police,04-12-2023 02:40,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110432,300 BLOCK E 5TH ST,Los Angeles Police,04-12-2023 02:20
"VEHICLE, STOLEN",230708355,1000 BLOCK S MANSFIELD AV,Los Angeles Police,04-12-2023 02:00,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110430,ARCADIA ST  &  SPRING ST,Los Angeles Police,04-12-2023 01:40
GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,923-04988-0286,"5200 BLK TELEGRAPH, LOS ANGELES, CA",Los Angeles Sheriff (unincorp.),04-12-2023 00:56,,,,,
,,,,,BURGLARY FROM VEHICLE,230110506,600 BLOCK S LOS ANGELES ST,Los Angeles Police,04-12-2023 00:01
"VEHICLE, STOLEN",230309233,2400 BLOCK S HOOVER ST,Los Angeles Police,04-11-2023 23:30,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230208877,BONNIE BRAE   &  SANTA YNEZ,Los Angeles Police,04-11-2023 23:20
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),232008126,MADISON AV  &  COSMOPOLITAN ST,Los Angeles Police,04-11-2023 23:05,,,,,
,,,,,"VEHICLE, STOLEN",230708352,1700 BLOCK S BRONSON AV,Los Angeles Police,04-11-2023 23:00
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230208890,300 BLOCK  LUCAS AV,Los Angeles Police,04-11-2023 23:00,,,,,
,,,,,THEFT - PETTY (plain theft-petty) ($950 & under),232008131,400 BLOCK N WESTERN AV,Los Angeles Police,04-11-2023 22:55
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230309242,2200 BLOCK S VERMONT AV,Los Angeles Police,04-11-2023 22:45,,,,,
,,,,,"VEHICLE, STOLEN",230110524,600 BLOCK S SPRING ST,Los Angeles Police,04-11-2023 22:00
"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230708364,4500 BLOCK W PICO BL,Los Angeles Police,04-11-2023 21:30,,,,,
,,,,,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.",923-00530-5120,"400 BLK BAUCHET ST, LOS ANGELES, CA 90012",Los Angeles Sheriff (unincorp.),04-11-2023 21:30
"VEHICLE, STOLEN",231309045,4100 BLOCK  AVALON BL,Los Angeles Police,04-11-2023 21:30,,,,,
,,,,,BURGLARY FROM VEHICLE,230110459,900 BLOCK S FIGUEROA ST,Los Angeles Police,04-11-2023 21:10
THEFT FROM VEHICLE - PETTY ($950 & under),231309044,1500 BLOCK E 23RD ST,Los Angeles Police,04-11-2023 21:00,,,,,
,,,,,BURGLARY FROM VEHICLE,230110438,1300 BLOCK S FLOWER ST,Los Angeles Police,04-11-2023 21:00
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230708342,4800 BLOCK W WASHINGTON BL,Los Angeles Police,04-11-2023 21:00,,,,,
,,,,,THEFT FROM VEHICLE - PETTY ($950 & under),232008154,WESTERN AV  &  INGRAHAM ST,Los Angeles Police,04-11-2023 20:30
BICYCLE - STOLEN,230309255,2300 BLOCK  PORTLAND ST,Los Angeles Police,04-11-2023 20:30,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),232008115,2600 BLOCK  SAN MARINO ST,Los Angeles Police,04-11-2023 20:30
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230208916,200 BLOCK N UNION AV,Los Angeles Police,04-11-2023 20:30,,,,,
,,,,,"VEHICLE, STOLEN",230110501,900 BLOCK S BROADWAY,Los Angeles Police,04-11-2023 20:20
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),232008116,ORCHARD   &  WASHINGTON,Los Angeles Police,04-11-2023 20:10,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110419,ALPINE ST  &  NEW HIGH,Los Angeles Police,04-11-2023 20:10
"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230407335,1000 BLOCK N EVERGREEN AV,Los Angeles Police,04-11-2023 20:00,,,,,
,,,,,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.",923-04973-0245,"100 BLK CITADEL DR, COMMERCE, CA 90040",Commerce (Los Angeles Sheriff),04-11-2023 19:55
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230309269,JEFFERSON BL  &  FIGUEROA ST,Los Angeles Police,04-11-2023 19:30,,,,,
,,,,,"VEHICLE, STOLEN",230110443,1000 BLOCK S FLOWER ST,Los Angeles Police,04-11-2023 19:30
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110455,1600 BLOCK S BROADWAY,Los Angeles Police,04-11-2023 19:20,,,,,
,,,,,"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON",230300619,39TH ST  &  WESTERN AV,Los Angeles Police,04-11-2023 19:15
"VEHICLE, STOLEN",230309220,2400 BLOCK  10TH AV,Los Angeles Police,04-11-2023 19:15,,,,,
,,,,,"VEHICLE, STOLEN",230110434,9TH ST  &  BROADWAY,Los Angeles Police,04-11-2023 19:00
BURGLARY FROM VEHICLE,231107781,4700 BLOCK N FIGUEROA ST,Los Angeles Police,04-11-2023 19:00,,,,,
,,,,,"VEHICLE, STOLEN",230110458,1200 BLOCK S MAIN ST,Los Angeles Police,04-11-2023 18:50
"VEHICLE, STOLEN",230309202,2000 BLOCK W 35TH ST,Los Angeles Police,04-11-2023 18:30,,,,,
,,,,,BURGLARY FROM VEHICLE,230110509,800 BLOCK E 4TH PL,Los Angeles Police,04-11-2023 18:30
"VEHICLE, STOLEN",230407322,3400 BLOCK  PERCY ST,Los Angeles Police,04-11-2023 18:30,,,,,
,,,,,BURGLARY FROM VEHICLE,230110437,900 BLOCK S FLOWER ST,Los Angeles Police,04-11-2023 18:30
BURGLARY FROM VEHICLE,230110439,500 BLOCK W PICO BL,Los Angeles Police,04-11-2023 18:30,,,,,
,,,,,BICYCLE - STOLEN,230110411,700 BLOCK S FIGUEROA ST,Los Angeles Police,04-11-2023 18:29
ROBBERY (taking property of another by means of force or fear),230110384,CLEVELAND ST  &  COLLEGE ST,Los Angeles Police,04-11-2023 18:00,,,,,
,,,,,THEFT FROM VEHICLE - PETTY ($950 & under),231309088,5500 BLOCK  HOLMES AV,Los Angeles Police,04-11-2023 17:00
ROBBERY (taking property of another by means of force or fear),230407301,1800 BLOCK E 1ST ST,Los Angeles Police,04-11-2023 17:00,,,,,
,,,,,"VEHICLE, STOLEN",231309037,4900 BLOCK  HOOPER AV,Los Angeles Police,04-11-2023 17:00
THEFT FROM VEHICLE - PETTY ($950 & under),232008149,5TH   &  SERRANO,Los Angeles Police,04-11-2023 17:00,,,,,
,,,,,THEFT FROM VEHICLE - GRAND ($950.01 & over),230309283,03900 BLOCK  CRENSHAW BL,Los Angeles Police,04-11-2023 16:35
BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230407332,600 BLOCK S ANDERSON ST,Los Angeles Police,04-11-2023 16:30,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231309034,700 BLOCK E 43RD ST,Los Angeles Police,04-11-2023 16:25
"ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE",023-04956-0278,"1200 BLK S INDIANA ST, LOS ANGELES, CA 90023",Los Angeles Sheriff (unincorp.),04-11-2023 16:05,,,,,
,,,,,"VEHICLE, STOLEN",231309041,WADSWORTH   &  50TH ST,Los Angeles Police,04-11-2023 16:00
"VEHICLE, STOLEN",230208893,1700 BLOCK W 14TH ST,Los Angeles Police,04-11-2023 16:00,,,,,
,,,,,"VEHICLE, STOLEN",230110546,600 BLOCK S MAIN ST,Los Angeles Police,04-11-2023 16:00
ARSON,230309189,2900 BLOCK  HILLCREST DR,Los Angeles Police,04-11-2023 16:00,,,,,
,,,,,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,923-00779-2768,"4900 BLK PARKGLEN AVE, LOS ANGELES, CA 90043",Los Angeles Sheriff (unincorp.),04-11-2023 15:51
ROBBERY (taking property of another by means of force or fear),230309302,50TH ST  &  11TH AV,Los Angeles Police,04-11-2023 15:45,,,,,
,,,,,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,923-00435-8736,"400 BLK W WASHINGTON BLVD, LOS ANGELES, CA 90015",Los Angeles Sheriff (unincorp.),04-11-2023 15:40
THEFT - PETTY (plain theft-petty) ($950 & under),230110412,200 BLOCK E 1ST ST,Los Angeles Police,04-11-2023 15:40,,,,,
,,,,,"ASSAULT, AGGRAVATED: ADW - OTHER DANGEROUS WEAPON",023-04955-0271,"1500 BLK N BONNIE BEACH PL, LOS ANGELES, CA 90063",Los Angeles Sheriff (unincorp.),04-11-2023 15:30
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231309025,E 16TH ST  &  MCGARRY ST,Los Angeles Police,04-11-2023 15:30,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230309218,4100 BLOCK  11TH AV,Los Angeles Police,04-11-2023 15:20
SHOPLIFTING - PETTY THEFT ($950 & under),230110435,700 BLOCK S FIGUEROA ST,Los Angeles Police,04-11-2023 15:13,,,,,
,,,,,"ASSAULT, AGGRAVATED: ADW - GUN",023-04954-0272,"3900 BLK CITY TERRACE, LOS ANGELES, CA",Los Angeles Sheriff (unincorp.),04-11-2023 15:09
THEFT FROM VEHICLE - PETTY ($950 & under),231309026,800 BLOCK E 18TH ST,Los Angeles Police,04-11-2023 15:00,,,,,
,,,,,SHOPLIFTING - GRAND THEFT ($950.01 & over),230708330,400 BLOCK S LA BREA AV,Los Angeles Police,04-11-2023 14:47
SPOUSAL (cohab) ABUSE - AGGRAVATED ASSAULT,230309187,3700 BLOCK  2ND AV,Los Angeles Police,04-11-2023 14:40,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),231209958,4400 BLOCK S WESTERN AV,Los Angeles Police,04-11-2023 14:35
"VEHICLE, STOLEN",230110383,200 BLOCK E 15TH ST,Los Angeles Police,04-11-2023 14:30,,,,,
,,,,,THEFT - ATTEMPTED (plain theft-attempted),232008097,3100 BLOCK W PICO BL,Los Angeles Police,04-11-2023 14:28
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230208861,8TH ST  &  GARLAND AV,Los Angeles Police,04-11-2023 13:30,,,,,
,,,,,"VEHICLE, STOLEN",231309020,2000 BLOCK  25TH ST,Los Angeles Police,04-11-2023 13:30
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230208862,2ND ST  &  EMERALD,Los Angeles Police,04-11-2023 13:30,,,,,
,,,,,"VEHICLE, STOLEN",230309297,2800 BLOCK  ELLENDALE PL,Los Angeles Police,04-11-2023 13:00
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231309029,WASHINGTON BL  &  SANTA FE AV,Los Angeles Police,04-11-2023 12:45,,,,,
,,,,,"VEHICLE, STOLEN",232008091,900 BLOCK S SERRANO AV,Los Angeles Police,04-11-2023 12:30
"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",230708336,400 BLOCK S LA BREA AV,Los Angeles Police,04-11-2023 12:30,,,,,
,,,,,THEFT - PETTY (plain theft-petty) ($950 & under),230708412,1300 BLOCK S HIGHLAND AV,Los Angeles Police,04-11-2023 11:59
"VEHICLE, STOLEN",231309015,3500 BLOCK S MAIN ST,Los Angeles Police,04-11-2023 11:48,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230407300,1400 BLOCK  MITCHELL PL,Los Angeles Police,04-11-2023 11:20
ROBBERY (taking property of another by means of force or fear),230110377,600 BLOCK S BROADWAY,Los Angeles Police,04-11-2023 10:10,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110355,400 BLOCK E 6TH ST,Los Angeles Police,04-11-2023 10:00
BURGLARY FROM VEHICLE,230407304,1300 BLOCK  RIO VISTA AV,Los Angeles Police,04-11-2023 09:45,,,,,
